,Ship,Date,Person 1,Person 2,Person 3,Person 4,Person 5,Person 6,Person 7
0,Annabeth Chase/Percy Jackson,02 Apr 2019,Annabeth,Percy,,,,,
1,Nico di Angelo/Pollux ,02 Apr 2019,Nico,Pollux ,,,,,
2,Annabeth Chase/Percy Jackson,02 Apr 2019,Annabeth,Percy,,,,,
3,Annabeth Chase/Piper McLean,02 Apr 2019,Annabeth,Piper,,,,,
4,Aphrodite/Ares ,02 Apr 2019,Aphrodite,Ares,,,,,
5,Aphrodite/Athena,02 Apr 2019,Aphrodite,Athena,,,,,
6,Annabeth Chase/Percy Jackson,02 Apr 2019,Annabeth,Percy,,,,,
7,Jason Grace/Piper McLean,02 Apr 2019,Jason,Piper,,,,,
8,Hera/Aphrodite ,02 Apr 2019,Hera,Aphrodite,,,,,
9,Hera/Zeus ,02 Apr 2019,Hera,Zeus,,,,,
10,Nico di Angelo/Percy Jackson,02 Apr 2019,Nico,Percy,,,,,
11,Hazel Levesque/Frank Zhang,02 Apr 2019,Hazel,Frank,,,,,
12,Piper McLean/Jason Grace/Leo Valdez/Hazel Levesque/Frank Zhang,02 Apr 2019,Piper,Jason,Leo,Hazel,Frank,,
13,Mars/Venus,02 Apr 2019,Mars,Venus,,,,,
14,Hylla Ramírez-Arellano/Reyna Avila Ramírez-Arellano,02 Apr 2019,Hylla,Reyna,,,,,
15,Ares/Percy Jackson,02 Apr 2019,Ares,Percy,,,,,
16,Luke Castellan/Percy Jackson,02 Apr 2019,Luke,Percy,,,,,
17,Nico di Angelo/Will Solace ,02 Apr 2019,Nico,Will,,,,,
18,Percy Jackson/Annabeth Chase ,02 Apr 2019,Percy,Annabeth,,,,,
19,Percy Jackson/Reyna Avila Ramírez-Arellano,02 Apr 2019,Percy,Reyna,,,,,
20,Anubis /Nico di Angelo,02 Apr 2019,Anubis ,Nico,,,,,
21,Thalia Grace / Reyna Avila Ramirez-Arellano,02 Apr 2019,Thalia,Reyna,,,,,
22,Bianca di Angelo / Reyna Avila Ramirez-Arellano ,02 Apr 2019,Bianca,Reyna,,,,,
23,Percy Jackson/Nico di Angelo,02 Apr 2019,Percy,Nico,,,,,
24,Luke Castellan/Percy Jackson,02 Apr 2019,Luke,Percy,,,,,
25,Luke Castellan/Thalia Grace,02 Apr 2019,Luke,Thalia,,,,,
26,Artemis/Zoe Nightshade,02 Apr 2019,Artemis,Zo,,,,,
27,Zoë Nightshade/Artemis,02 Apr 2019,Zo,Artemis,,,,,
28,Nico di Angelo/Will Solace,02 Apr 2019,Nico,Will,,,,,
29,Jason Grace/Piper McLean,02 Apr 2019,Jason,Piper,,,,,
30,Annabeth Chase/Percy Jackson,02 Apr 2019,Annabeth,Percy,,,,,
31,Annabeth Chase/Percy Jackson,02 Apr 2019,Annabeth,Percy,,,,,
32,Ashtyn,02 Apr 2019,Ashtyn,,,,,,
33,Annabeth Chase/Percy Jackson,02 Apr 2019,Annabeth,Percy,,,,,
