Ship,Date
Annabeth Chase/Percy Jackson,02 Apr 2019
Nico di Angelo/Pollux (Percy Jackson),02 Apr 2019
Annabeth Chase/Percy Jackson,02 Apr 2019
Annabeth Chase & Percy Jackson,02 Apr 2019
Annabeth Chase/Piper McLean,02 Apr 2019
Aphrodite/Ares (Percy Jackson),02 Apr 2019
Aphrodite/Athena,02 Apr 2019
Annabeth Chase/Percy Jackson,02 Apr 2019
Jason Grace/Piper McLean,02 Apr 2019
Silena Beauregard & Drew Tanaka,02 Apr 2019
Hera/Aphrodite (Percy Jackson),02 Apr 2019
Athena & Annabeth Chase,02 Apr 2019
Hera/Zeus (Percy Jackson),02 Apr 2019
Nico di Angelo/Percy Jackson,02 Apr 2019
Hazel Levesque/Frank Zhang,02 Apr 2019
Hazel Levesque & Piper McLean,02 Apr 2019
Piper McLean/Jason Grace/Leo Valdez/Hazel Levesque/Frank Zhang,02 Apr 2019
Mars/Venus,02 Apr 2019
Hylla Ramírez-Arellano/Reyna Avila Ramírez-Arellano,02 Apr 2019
Ares/Percy Jackson,02 Apr 2019
Luke Castellan/Percy Jackson,02 Apr 2019
Nico di Angelo/Will Solace (mentioned),02 Apr 2019
Percy Jackson/Annabeth Chase (mentioned),02 Apr 2019
Percy Jackson/Reyna Avila Ramírez-Arellano,02 Apr 2019
Anubis (Kane Chronicles)/Nico di Angelo,02 Apr 2019
Thalia Grace / Reyna Avila Ramirez-Arellano,02 Apr 2019
Bianca di Angelo / Reyna Avila Ramirez-Arellano (unrequited),02 Apr 2019
Percico,02 Apr 2019
pernico,02 Apr 2019
Percy Jackson/Nico di Angelo,02 Apr 2019
Luke Castellan/Percy Jackson,02 Apr 2019
Luke Castellan/Thalia Grace,02 Apr 2019
zartemis - Relationship,02 Apr 2019
Artemis/Zoe Nightshade,02 Apr 2019
Zoë Nightshade/Artemis,02 Apr 2019
Nico di Angelo/Will Solace,02 Apr 2019
Jason Grace/Piper McLean,02 Apr 2019
Annabeth Chase/Percy Jackson,02 Apr 2019
Percy Jackson & Original Female Character(s),02 Apr 2019
Percy Jackson & Sally Jackson,02 Apr 2019
Percy Jackson & Grover Underwood,02 Apr 2019
Annabeth Chase & Percy Jackson & Grover Underwood,02 Apr 2019
Annabeth Chase & Percy Jackson,02 Apr 2019
Annabeth Chase/Percy Jackson,02 Apr 2019
Annabeth Chase & Original Female Character(s),02 Apr 2019
Percy Jackson & Helena Jackson,02 Apr 2019
Ashtyn(OC)/Tate(OC),02 Apr 2019
Annabeth Chase/Percy Jackson,02 Apr 2019
Jason Grace/Piper McLean,02 Apr 2019
Calypso/Leo Valdez,02 Apr 2019
Hazel Levesque/Frank Zhang,02 Apr 2019
Annabeth Chase/Percy Jackson,02 Apr 2019
Annabeth Chase & Percy Jackson,02 Apr 2019
Annabeth Chase/Percy Jackson,02 Apr 2019
Nico di Angelo/Percy Jackson,02 Apr 2019
Paul Blofis/Sally Jackson,02 Apr 2019
Annabeth Chase/Percy Jackson,02 Apr 2019
Nico di Angelo/Will Solace,02 Apr 2019
Calypso/Leo Valdez,02 Apr 2019
Jason Grace/Piper McLean,02 Apr 2019
Hades/Persephone (Percy Jackson),02 Apr 2019
Hera/Zeus (Percy Jackson),02 Apr 2019
Nico di Angelo/Percy Jackson,02 Apr 2019
Will Solace/Leo Valdez,02 Apr 2019
Hinted Thalia grace/Reyna Avila Ramírez-Arellano,02 Apr 2019
Jason Grace/Piper McLean,02 Apr 2019
Hazel Levesque/Frank Zhang,02 Apr 2019
Annabeth Chase/???,02 Apr 2019
Artemis/Percy Jackson,01 Apr 2019
Annabeth Chase/Percy Jackson,01 Apr 2019
Annabeth Chase & Percy Jackson,01 Apr 2019
Piper McLean & Original Female Character(s),01 Apr 2019
Calypso/Leo Valdez,01 Apr 2019
Jason Grace/Piper McLean,01 Apr 2019
Annabeth Chase & Percy Jackson,01 Apr 2019
Annabeth Chase/Percy Jackson,01 Apr 2019
Jason Grace/Percy Jackson,01 Apr 2019
Jason Grace & Thalia Grace,01 Apr 2019
Nico di Angelo/Will Solace,01 Apr 2019
Annabeth Chase/Percy Jackson,01 Apr 2019
Jason Grace/Percy Jackson,01 Apr 2019
Hazel Levesque/Piper McLean,01 Apr 2019
Annabeth Chase/Percy Jackson,01 Apr 2019
Hazel Levesque/Frank Zhang,01 Apr 2019
Calypso/Leo Valdez,01 Apr 2019
Jason Grace/Piper McLean,01 Apr 2019
Annabeth Chase/Percy Jackson,01 Apr 2019
Calypso/Leo Valdez,01 Apr 2019
Hazel Levesque/Frank Zhang,01 Apr 2019
Nico di Angelo/Will Solace,01 Apr 2019
Juniper/Grover Underwood,01 Apr 2019
Magnus Chase/Alex Fierro,01 Apr 2019
Jason Grace/Piper McLean,01 Apr 2019
Annabeth Chase & Sadie Kane,01 Apr 2019
Magnus Chase & Percy Jackson,01 Apr 2019
Jason Grace & Percy Jackson,01 Apr 2019
Carter Kane & Magnus Chase,01 Apr 2019
Percy Jackson & Leo Valdez,01 Apr 2019
Percy Jackson & Carter Kane,01 Apr 2019
Magnus Chase & Percy Jackson & Carter Kane,01 Apr 2019
Calypso & Percy Jackson,01 Apr 2019
Jason Grace & Piper McLean & Leo Valdez,01 Apr 2019
Nico di Angelo & The Seven,01 Apr 2019
Annabeth & Frank & Hazel & Jason & Leo & Percy & Piper,01 Apr 2019
Percy Jackson & Clarisse La Rue,01 Apr 2019
Percy Jackson & Thalia Grace & Annabeth Chase,01 Apr 2019
Percy Jackson & Tyson,01 Apr 2019
Thalia Grace & Percy Jackson,01 Apr 2019
Rachel Elizabeth Dare & Percy Jackson,01 Apr 2019
Carter Kane & Sadie Kane,01 Apr 2019
Annabeth Chase & Rachel Elizabeth Dare,01 Apr 2019
Percy Jackson & Grover Underwood,01 Apr 2019
Nico di Angelo & Percy Jackson,01 Apr 2019
Nico di Angelo & Jason Grace,01 Apr 2019
Nico di Angelo & Thalia Grace,01 Apr 2019
Nico di Angelo & Thalia Grace & Percy Jackson,01 Apr 2019
Nico di Angelo & Frank Zhang,01 Apr 2019
Grover Underwood & Annabeth Chase & Nico di Angelo & Percy Jackson,01 Apr 2019
